session,start,end,paperUID,posterNumber
pldi_talks5B,2021-06-25T13:00:00-00:00,2021-06-25T13:05:00-00:00,pldi.517,
pldi_talks5B,2021-06-25T13:05:00-00:00,2021-06-25T13:10:00-00:00,pldi.618,
pldi_talks5B,2021-06-25T13:10:00-00:00,2021-06-25T13:15:00-00:00,pldi.130,
pldi_talks5B,2021-06-25T13:15:00-00:00,2021-06-25T13:20:00-00:00,pldi.149,
pldi_talks5B,2021-06-25T13:20:00-00:00,2021-06-25T13:25:00-00:00,pldi.424,
pldi_talks5B,2021-06-25T13:25:00-00:00,2021-06-25T13:30:00-00:00,pldi.25,
pldi_talks5B,2021-06-25T13:30:00-00:00,2021-06-25T13:35:00-00:00,pldi.404,
pldi_talks5B,2021-06-25T13:35:00-00:00,2021-06-25T13:40:00-00:00,pldi.305,
pldi_posters5,,,pldi.76,76
pldi_posters5,,,pldi.243,89
pldi_posters5,,,pldi.355,91
pldi_posters5,,,pldi.717,83
pldi_posters5,,,pldi.166,74
pldi_posters5,,,pldi.332,66
pldi_posters5,,,pldi.337,68
pldi_posters5,,,pldi.645,65
pldi_posters5,,,pldi.517,73
pldi_posters5,,,pldi.618,92
pldi_posters5,,,pldi.130,67
pldi_posters5,,,pldi.149,84
pldi_posters5,,,pldi.424,90
pldi_posters5,,,pldi.25,81
pldi_posters5,,,pldi.404,82
pldi_posters5,,,pldi.305,75
pldi_talks6A,2021-06-25T17:30:00-00:00,2021-06-25T17:35:00-00:00,pldi.440,
pldi_talks6A,2021-06-25T17:35:00-00:00,2021-06-25T17:40:00-00:00,pldi.283,
pldi_talks6A,2021-06-25T17:40:00-00:00,2021-06-25T17:45:00-00:00,pldi.279,
pldi_talks6A,2021-06-25T17:45:00-00:00,2021-06-25T17:50:00-00:00,pldi.126,
pldi_talks6A,2021-06-25T17:50:00-00:00,2021-06-25T17:55:00-00:00,pldi.82,
pldi_talks6A,2021-06-25T17:55:00-00:00,2021-06-25T18:00:00-00:00,pldi.44,
pldi_talks6A,2021-06-25T18:00:00-00:00,2021-06-25T18:05:00-00:00,pldi.144,
pldi_talks6B,2021-06-25T17:30:00-00:00,2021-06-25T17:35:00-00:00,pldi.34,
pldi_talks6B,2021-06-25T17:35:00-00:00,2021-06-25T17:40:00-00:00,pldi.599,
pldi_talks6B,2021-06-25T17:40:00-00:00,2021-06-25T17:45:00-00:00,pldi.596,
pldi_talks6B,2021-06-25T17:45:00-00:00,2021-06-25T17:50:00-00:00,pldi.853,
pldi_talks6B,2021-06-25T17:50:00-00:00,2021-06-25T17:55:00-00:00,pldi.127,
pldi_talks6B,2021-06-25T17:55:00-00:00,2021-06-25T18:00:00-00:00,pldi.325,
pldi_posters6,,,pldi.440,80
pldi_posters6,,,pldi.283,85
pldi_posters6,,,pldi.279,96
pldi_posters6,,,pldi.126,69
pldi_posters6,,,pldi.82,77
pldi_posters6,,,pldi.44,70
pldi_posters6,,,pldi.144,95
pldi_posters6,,,pldi.34,86
pldi_posters6,,,pldi.599,79
pldi_posters6,,,pldi.596,93
pldi_posters6,,,pldi.853,94
pldi_posters6,,,pldi.127,78
pldi_posters6,,,pldi.325,87
pldi_talks1A_mirror,2021-06-24T01:00:00+00:00,2021-06-24T01:05:00+00:00,pldi.255,
pldi_talks1A_mirror,2021-06-24T01:05:00+00:00,2021-06-24T01:10:00+00:00,pldi.369,
pldi_talks1A_mirror,2021-06-24T01:10:00+00:00,2021-06-24T01:15:00+00:00,pldi.311,
pldi_talks1A_mirror,2021-06-24T01:15:00+00:00,2021-06-24T01:20:00+00:00,pldi.601,
pldi_talks1A_mirror,2021-06-24T01:20:00+00:00,2021-06-24T01:25:00+00:00,pldi.885,
pldi_talks1A_mirror,2021-06-24T01:25:00+00:00,2021-06-24T01:30:00+00:00,pldi.465,
pldi_talks1A_mirror,2021-06-24T01:30:00+00:00,2021-06-24T01:35:00+00:00,pldi.180,
pldi_talks1B_mirror,2021-06-24T01:00:00+00:00,2021-06-24T01:05:00+00:00,pldi.43,
pldi_talks1B_mirror,2021-06-24T01:05:00+00:00,2021-06-24T01:10:00+00:00,pldi.92,
pldi_talks1B_mirror,2021-06-24T01:10:00+00:00,2021-06-24T01:15:00+00:00,pldi.155,
pldi_talks1B_mirror,2021-06-24T01:15:00+00:00,2021-06-24T01:20:00+00:00,pldi.145,
pldi_talks1B_mirror,2021-06-24T01:20:00+00:00,2021-06-24T01:25:00+00:00,pldi.249,
pldi_talks1B_mirror,2021-06-24T01:25:00+00:00,2021-06-24T01:30:00+00:00,pldi.244,
pldi_talks1B_mirror,2021-06-24T01:30:00+00:00,2021-06-24T01:35:00+00:00,pldi.773,
pldi_posters1_mirror,,,pldi.255,12
pldi_posters1_mirror,,,pldi.369,25
pldi_posters1_mirror,,,pldi.311,27
pldi_posters1_mirror,,,pldi.601,19
pldi_posters1_mirror,,,pldi.885,10
pldi_posters1_mirror,,,pldi.465,2
pldi_posters1_mirror,,,pldi.180,4
pldi_posters1_mirror,,,pldi.43,1
pldi_posters1_mirror,,,pldi.92,9
pldi_posters1_mirror,,,pldi.155,28
pldi_posters1_mirror,,,pldi.145,3
pldi_posters1_mirror,,,pldi.249,20
pldi_posters1_mirror,,,pldi.244,26
pldi_posters1_mirror,,,pldi.773,17
pldi_talks2A_mirror,2021-06-24T05:30:00+00:00,2021-06-24T05:35:00+00:00,pldi.112,
pldi_talks2A_mirror,2021-06-24T05:35:00+00:00,2021-06-24T05:40:00+00:00,pldi.156,
pldi_talks2A_mirror,2021-06-24T05:40:00+00:00,2021-06-24T05:45:00+00:00,pldi.121,
pldi_talks2A_mirror,2021-06-24T05:45:00+00:00,2021-06-24T05:50:00+00:00,pldi.605,
pldi_talks2A_mirror,2021-06-24T05:50:00+00:00,2021-06-24T05:55:00+00:00,pldi.375,
pldi_talks2A_mirror,2021-06-24T05:55:00+00:00,2021-06-24T06:00:00+00:00,pldi.522,
pldi_talks2A_mirror,2021-06-24T06:00:00+00:00,2021-06-24T06:05:00+00:00,pldi.760,
pldi_talks2B_mirror,2021-06-24T05:30:00+00:00,2021-06-24T05:35:00+00:00,pldi.72,
pldi_talks2B_mirror,2021-06-24T05:35:00+00:00,2021-06-24T05:40:00+00:00,pldi.299,
pldi_talks2B_mirror,2021-06-24T05:40:00+00:00,2021-06-24T05:45:00+00:00,pldi.83,
pldi_talks2B_mirror,2021-06-24T05:45:00+00:00,2021-06-24T05:50:00+00:00,pldi.27,
pldi_talks2B_mirror,2021-06-24T05:50:00+00:00,2021-06-24T05:55:00+00:00,pldi.203,
pldi_talks2B_mirror,2021-06-24T05:55:00+00:00,2021-06-24T06:00:00+00:00,pldi.530,
pldi_talks2B_mirror,2021-06-24T06:00:00+00:00,2021-06-24T06:05:00+00:00,pldi.115,
pldi_posters2_mirror,,,pldi.112,14
pldi_posters2_mirror,,,pldi.121,21
pldi_posters2_mirror,,,pldi.760,32
pldi_posters2_mirror,,,pldi.375,5
pldi_posters2_mirror,,,pldi.605,13
pldi_posters2_mirror,,,pldi.522,6
pldi_posters2_mirror,,,pldi.156,31
pldi_posters2_mirror,,,pldi.72,22
pldi_posters2_mirror,,,pldi.299,15
pldi_posters2_mirror,,,pldi.83,29
pldi_posters2_mirror,,,pldi.27,30
pldi_posters2_mirror,,,pldi.203,7
pldi_posters2_mirror,,,pldi.530,23
pldi_posters2_mirror,,,pldi.115,24
pldi_talks3A_mirror,2021-06-25T01:00:00+00:00,2021-06-25T01:05:00+00:00,pldi.165,
pldi_talks3A_mirror,2021-06-25T01:05:00+00:00,2021-06-25T01:10:00+00:00,pldi.111,
pldi_talks3A_mirror,2021-06-25T01:10:00+00:00,2021-06-25T01:15:00+00:00,pldi.45,
pldi_talks3A_mirror,2021-06-25T01:15:00+00:00,2021-06-25T01:20:00+00:00,pldi.407,
pldi_talks3A_mirror,2021-06-25T01:20:00+00:00,2021-06-25T01:25:00+00:00,pldi.826,
pldi_talks3A_mirror,2021-06-25T01:25:00+00:00,2021-06-25T01:30:00+00:00,pldi.343,
pldi_talks3A_mirror,2021-06-25T01:30:00+00:00,2021-06-25T01:35:00+00:00,pldi.124,
pldi_talks3A_mirror,2021-06-25T01:35:00+00:00,2021-06-25T01:40:00+00:00,pldi.227,
pldi_talks3B_mirror,2021-06-25T01:00:00+00:00,2021-06-25T01:05:00+00:00,pldi.319,
pldi_talks3B_mirror,2021-06-25T01:05:00+00:00,2021-06-25T01:10:00+00:00,pldi.21,
pldi_talks3B_mirror,2021-06-25T01:10:00+00:00,2021-06-25T01:15:00+00:00,pldi.106,
pldi_talks3B_mirror,2021-06-25T01:15:00+00:00,2021-06-25T01:20:00+00:00,pldi.40,
pldi_talks3B_mirror,2021-06-25T01:20:00+00:00,2021-06-25T01:25:00+00:00,pldi.174,
pldi_talks3B_mirror,2021-06-25T01:25:00+00:00,2021-06-25T01:30:00+00:00,pldi.274,
pldi_talks3B_mirror,2021-06-25T01:30:00+00:00,2021-06-25T01:35:00+00:00,pldi.363,
pldi_talks3B_mirror,2021-06-25T01:35:00+00:00,2021-06-25T01:40:00+00:00,pldi.787,
pldi_posters3_mirror,,,pldi.165,44
pldi_posters3_mirror,,,pldi.111,57
pldi_posters3_mirror,,,pldi.45,59
pldi_posters3_mirror,,,pldi.407,51
pldi_posters3_mirror,,,pldi.826,42
pldi_posters3_mirror,,,pldi.343,34
pldi_posters3_mirror,,,pldi.124,36
pldi_posters3_mirror,,,pldi.227,33
pldi_posters3_mirror,,,pldi.319,41
pldi_posters3_mirror,,,pldi.21,60
pldi_posters3_mirror,,,pldi.106,35
pldi_posters3_mirror,,,pldi.40,52
pldi_posters3_mirror,,,pldi.174,58
pldi_posters3_mirror,,,pldi.274,49
pldi_posters3_mirror,,,pldi.363,50
pldi_posters3_mirror,,,pldi.787,43
pldi_talks4A_mirror,2021-06-25T05:30:00+00:00,2021-06-25T05:35:00+00:00,pldi.457,
pldi_talks4A_mirror,2021-06-25T05:35:00+00:00,2021-06-25T05:40:00+00:00,pldi.228,
pldi_talks4A_mirror,2021-06-25T05:40:00+00:00,2021-06-25T05:45:00+00:00,pldi.430,
pldi_talks4A_mirror,2021-06-25T05:45:00+00:00,2021-06-25T05:50:00+00:00,pldi.297,
pldi_talks4A_mirror,2021-06-25T05:50:00+00:00,2021-06-25T05:55:00+00:00,pldi.577,
pldi_talks4A_mirror,2021-06-25T05:55:00+00:00,2021-06-25T06:00:00+00:00,pldi.650,
pldi_talks4A_mirror,2021-06-25T06:00:00+00:00,2021-06-25T06:05:00+00:00,pldi.520,
pldi_talks4B_mirror,2021-06-25T05:30:00+00:00,2021-06-25T05:35:00+00:00,pldi.734,
pldi_talks4B_mirror,2021-06-25T05:35:00+00:00,2021-06-25T05:40:00+00:00,pldi.99,
pldi_talks4B_mirror,2021-06-25T05:40:00+00:00,2021-06-25T05:45:00+00:00,pldi.763,
pldi_talks4B_mirror,2021-06-25T05:45:00+00:00,2021-06-25T05:50:00+00:00,pldi.30,
pldi_talks4B_mirror,2021-06-25T05:50:00+00:00,2021-06-25T05:55:00+00:00,pldi.12,
pldi_talks4B_mirror,2021-06-25T05:55:00+00:00,2021-06-25T06:00:00+00:00,pldi.485,
pldi_talks4B_mirror,2021-06-25T06:00:00+00:00,2021-06-25T06:05:00+00:00,pldi.67,
pldi_posters4_mirror,,,pldi.457,40
pldi_posters4_mirror,,,pldi.228,53
pldi_posters4_mirror,,,pldi.430,64
pldi_posters4_mirror,,,pldi.297,46
pldi_posters4_mirror,,,pldi.577,45
pldi_posters4_mirror,,,pldi.650,38
pldi_posters4_mirror,,,pldi.520,63
pldi_posters4_mirror,,,pldi.734,54
pldi_posters4_mirror,,,pldi.99,47
pldi_posters4_mirror,,,pldi.763,61
pldi_posters4_mirror,,,pldi.30,62
pldi_posters4_mirror,,,pldi.12,39
pldi_posters4_mirror,,,pldi.485,55
pldi_posters4_mirror,,,pldi.67,56
pldi_talks5A_mirror,2021-06-26T01:00:00+00:00,2021-06-26T01:05:00+00:00,pldi.76,
pldi_talks5A_mirror,2021-06-26T01:05:00+00:00,2021-06-26T01:10:00+00:00,pldi.243,
pldi_talks5A_mirror,2021-06-26T01:10:00+00:00,2021-06-26T01:15:00+00:00,pldi.355,
pldi_talks5A_mirror,2021-06-26T01:15:00+00:00,2021-06-26T01:20:00+00:00,pldi.717,
pldi_talks5A_mirror,2021-06-26T01:20:00+00:00,2021-06-26T01:25:00+00:00,pldi.166,
pldi_talks5A_mirror,2021-06-26T01:25:00+00:00,2021-06-26T01:30:00+00:00,pldi.332,
pldi_talks5A_mirror,2021-06-26T01:30:00+00:00,2021-06-26T01:35:00+00:00,pldi.337,
pldi_talks5A_mirror,2021-06-26T01:35:00+00:00,2021-06-26T01:40:00+00:00,pldi.645,
pldi_talks5B_mirror,2021-06-26T01:00:00+00:00,2021-06-26T01:05:00+00:00,pldi.517,
pldi_talks5B_mirror,2021-06-26T01:05:00+00:00,2021-06-26T01:10:00+00:00,pldi.618,
pldi_talks5B_mirror,2021-06-26T01:10:00+00:00,2021-06-26T01:15:00+00:00,pldi.130,
pldi_talks5B_mirror,2021-06-26T01:15:00+00:00,2021-06-26T01:20:00+00:00,pldi.149,
pldi_talks5B_mirror,2021-06-26T01:20:00+00:00,2021-06-26T01:25:00+00:00,pldi.424,
pldi_talks5B_mirror,2021-06-26T01:25:00+00:00,2021-06-26T01:30:00+00:00,pldi.25,
pldi_talks5B_mirror,2021-06-26T01:30:00+00:00,2021-06-26T01:35:00+00:00,pldi.404,
pldi_talks5B_mirror,2021-06-26T01:35:00+00:00,2021-06-26T01:40:00+00:00,pldi.305,
pldi_posters5_mirror,,,pldi.76,76
pldi_posters5_mirror,,,pldi.243,89
pldi_posters5_mirror,,,pldi.355,91
pldi_posters5_mirror,,,pldi.717,83
pldi_posters5_mirror,,,pldi.166,74
pldi_posters5_mirror,,,pldi.332,66
pldi_posters5_mirror,,,pldi.337,68
pldi_posters5_mirror,,,pldi.645,65
pldi_posters5_mirror,,,pldi.517,73
pldi_posters5_mirror,,,pldi.618,92
pldi_posters5_mirror,,,pldi.130,67
pldi_posters5_mirror,,,pldi.149,84
pldi_posters5_mirror,,,pldi.424,90
pldi_posters5_mirror,,,pldi.25,81
pldi_posters5_mirror,,,pldi.404,82
pldi_posters5_mirror,,,pldi.305,75
pldi_talks6A_mirror,2021-06-26T05:30:00+00:00,2021-06-26T05:35:00+00:00,pldi.440,
pldi_talks6A_mirror,2021-06-26T05:35:00+00:00,2021-06-26T05:40:00+00:00,pldi.283,
pldi_talks6A_mirror,2021-06-26T05:40:00+00:00,2021-06-26T05:45:00+00:00,pldi.279,
pldi_talks6A_mirror,2021-06-26T05:45:00+00:00,2021-06-26T05:50:00+00:00,pldi.126,
pldi_talks6A_mirror,2021-06-26T05:50:00+00:00,2021-06-26T05:55:00+00:00,pldi.82,
