ID,Name,Email,Title,Status,Presentation lD
pldi.149.short,"Guixin Ye, Zhanyong Tang, Shin Hwei Tan, Songfang Huang, Dingyi Fang, Xiaoyang Sun, Lizhong Bian, Haibo Wang, Zheng Wang",,Automated Conformance Testing for JavaScript Engines via Deep Compiler Fuzzing,finished,38956192
pldi.155.long,"Yurii Kostyukov, Dmitry Mordvinov, Grigory Fedyukovich",,Beyond the Elementary Representations of Program Invariants over Algebraic Data Types,finished,38956280
pldi.155.short,"Yurii Kostyukov, Dmitry Mordvinov, Grigory Fedyukovich",,Beyond the Elementary Representations of Program Invariants over Algebraic Data Types,finished,38956193
pldi.156.long,"Gregory Bonaert, Dimitar I. Dimitrov, Maximilian Baader, Martin Vechev",,Fast and Precise Certification of Transformers,finished,38956281
pldi.156.short,"Gregory Bonaert, Dimitar I. Dimitrov, Maximilian Baader, Martin Vechev",,Fast and Precise Certification of Transformers,finished,38956194
pldi.165.long,"Benoît Montagu, Thomas Jensen",,Trace-Based Control-Flow Analysis,incoming,38956282
pldi.165.short,"Benoît Montagu, Thomas Jensen",,Trace-Based Control-Flow Analysis,finished,38956195
pldi.166.long,"Guillaume Baudart, Javier Burroni, Martin Hirzel, Louis Mandel, Avraham Shinnar",,Compiling Stan to Generative Probabilistic Languages and Extension to Deep Probabilistic Programming,incoming,38956283
pldi.166.short,"Guillaume Baudart, Javier Burroni, Martin Hirzel, Louis Mandel, Avraham Shinnar",,Compiling Stan to Generative Probabilistic Languages and Extension to Deep Probabilistic Programming,finished,38956196
pldi.174.long,"Cyrus Omar, David Moon, Andrew Blinn, Ian Voysey, Nick Collins, Ravi Chugh",,Filling Typed Holes with Live GUIs,incoming,38956284
pldi.174.short,"Cyrus Omar, David Moon, Andrew Blinn, Ian Voysey, Nick Collins, Ravi Chugh",,Filling Typed Holes with Live GUIs,finished,38956197
pldi.180.long,"Daniel Anderson, Guy E. Blelloch, Yuanhao Wei",,Concurrent Deferred Reference Counting with Constant-Time Overhead,finished,38956285
pldi.180.short,"Daniel Anderson, Guy E. Blelloch, Yuanhao Wei",,Concurrent Deferred Reference Counting with Constant-Time Overhead,finished,38956198
pldi.203.long,"Nengkun Yu, Jens Palsberg",,Quantum Abstract Interpretation,finished,38956286
pldi.203.short,"Nengkun Yu, Jens Palsberg",,Quantum Abstract Interpretation,finished,38956199
pldi.21.long,"Kyeongmin Cho, Sung-Hwan Lee, Azalea Raad, Jeehoon Kang",,Revamping Hardware Persistency Models: View-Based and Axiomatic Persistency Models for Intel-x86 and Armv8,finished,38956252
pldi.21.short,"Kyeongmin Cho, Sung-Hwan Lee, Azalea Raad, Jeehoon Kang",,Revamping Hardware Persistency Models: View-Based and Axiomatic Persistency Models for Intel-x86 and Armv8,finished,38956165
pldi.227.long,"Di Wang, Jan Hoffmann, Thomas Reps",,Central Moment Analysis for Cost Accumulators in Probabilistic Programs,incoming,38956287
pldi.227.short,"Di Wang, Jan Hoffmann, Thomas Reps",,Central Moment Analysis for Cost Accumulators in Probabilistic Programs,finished,38956200
pldi.228.long,"Shankara Pailoor, Yuepeng Wang, Xinyu Wang, Isil Dillig",,Synthesizing Data Structure Refinements from Integrity Constraints,incoming,38956288
pldi.228.short,"Shankara Pailoor, Yuepeng Wang, Xinyu Wang, Isil Dillig",,Synthesizing Data Structure Refinements from Integrity Constraints,finished,38956201
pldi.243.long,"Matthew Sotoudeh, Aditya V. Thakur",,Provable Repair of Deep Neural Networks,finished,38956289
pldi.243.short,"Matthew Sotoudeh, Aditya V. Thakur",,Provable Repair of Deep Neural Networks,finished,38956202
pldi.244.long,"Andres Erbsen, Samuel Gruetter, Joonwon Choi, Clark Wood, Adam Chlipala",,Integration Verification across Software and Hardware for a Simple Embedded System,finished,38956290
pldi.244.short,"Andres Erbsen, Samuel Gruetter, Joonwon Choi, Clark Wood, Adam Chlipala",,Integration Verification across Software and Hardware for a Simple Embedded System,finished,38956203
pldi.249.long,"Caleb Stanford, Margus Veanes, Nikolaj BjÃ¸rner",,Symbolic Boolean Derivatives for Efficiently Solving Extended Regular Expression Constraints,finished,38956291
pldi.249.short,"Caleb Stanford, Margus Veanes, Nikolaj BjÃ¸rner",,Symbolic Boolean Derivatives for Efficiently Solving Extended Regular Expression Constraints,finished,38956204
pldi.25.long,"Kia Rahmani, Kartik Nagar, Benjamin Delaware, Suresh Jagannathan",,Repairing Serializability Bugs in Distributed Database Programs via Automated Schema Refactoring,finished,38956253
pldi.25.short,"Kia Rahmani, Kartik Nagar, Benjamin Delaware, Suresh Jagannathan",,Repairing Serializability Bugs in Distributed Database Programs via Automated Schema Refactoring,finished,38956166
pldi.255.long,"Hongjin Liang, Xinyu Feng",,Abstraction for Conflict-Free Replicated Data Types,finished,38956292
pldi.255.short,"Hongjin Liang, Xinyu Feng",,Abstraction for Conflict-Free Replicated Data Types,finished,38956205
pldi.27.long,"Runzhou Tao, Yunong Shi, Jianan Yao, John Hui, Frederic T. Chong, Ronghui Gu",,Gleipnir: Toward Practical Error Analysis for Quantum Programs,finished,38956254
